asset_id,name,category,deliverable_type,phase,game_id,baseline,status,integration_status,dependencies,required_variants,acceptance_brief,source_path,output_path,provenance,review_evidence
catalogue.msl_sam.v1,Area Air-Defence System,Existing catalogue / Missile,base_asset,P3,msl_sam,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.msl_brm.v1,Theatre Ballistic Missile,Existing catalogue / Missile,base_asset,P3,msl_brm,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.msl_deterrent.v1,Strategic Deterrent Force,Existing catalogue / Missile,base_asset,P3,msl_deterrent,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.spc_recon.v1,Reconnaissance Satellite Constellation,Existing catalogue / Space,base_asset,P3,spc_recon,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.f15e.v1,F-15E Strike Eagle,Existing catalogue / Air,base_asset,P3,f15e,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.f117.v1,F-117 Nighthawk,Existing catalogue / Air,base_asset,P3,f117,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.e3.v1,E-3 Sentry AWACS,Existing catalogue / Air,base_asset,P3,e3,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.b2.v1,B-2 Spirit,Existing catalogue / Air,base_asset,P3,b2,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.predator.v1,RQ-1 Predator,Existing catalogue / Air,base_asset,P3,predator,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.mq1b.v1,MQ-1B Predator,Existing catalogue / Air,base_asset,P3,mq1b,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.f22.v1,F-22 Raptor,Existing catalogue / Air,base_asset,P3,f22,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.ea18g.v1,EA-18G Growler,Existing catalogue / Air,base_asset,P3,ea18g,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.rq170.v1,RQ-170 Sentinel,Existing catalogue / Air,base_asset,P3,rq170,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.f35a.v1,F-35A Lightning II,Existing catalogue / Air,base_asset,P3,f35a,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.cca.v1,Collaborative Combat Aircraft,Existing catalogue / Air,base_asset,P3,cca,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.sixthgen.v1,Sixth-Generation Fighter,Existing catalogue / Air,base_asset,P3,sixthgen,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.aesa.v1,AESA Radar Refit,Existing catalogue / Air,base_asset,P3,aesa,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.la_ssn.v1,Los Angeles-class SSN,Existing catalogue / Naval,base_asset,P3,la_ssn,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.aip_ssk.v1,Air-Independent Propulsion Submarine,Existing catalogue / Naval,base_asset,P3,aip_ssk,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.laws.v1,Shipboard Directed-Energy Mount,Existing catalogue / Naval,base_asset,P3,laws,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.paveway.v1,GBU-24 Paveway III,Existing catalogue / Missile,base_asset,P3,paveway,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.tomahawk.v1,BGM-109 Tomahawk,Existing catalogue / Missile,base_asset,P3,tomahawk,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.patriot.v1,MIM-104 Patriot,Existing catalogue / Missile,base_asset,P3,patriot,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.jdam.v1,JDAM Guidance Kit,Existing catalogue / Missile,base_asset,P3,jdam,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.gbi.v1,Ground-Based Interceptor,Existing catalogue / Missile,base_asset,P3,gbi,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
